drift,unbalance,type,alg,F1_0,F1_1,F1_0_std,F1_1_std
sea_P(y),1,sudden,improved_OOB,99.04759791924309,98.01035759171211,0.054155009436708514,0.1043766511814312
sea_P(y),1,sudden,WEOB1,98.96768761731389,97.61824995430362,0.04148973804603072,0.0866122586459847
sea_P(y),1,sudden,OOB,99.04677942979217,98.14362056873725,0.05308974725852438,0.11938604534246629
sea_P(y),1,sudden,ESOS_ELM,89.30415619559611,73.42351874845741,0.10278132708036258,0.5217861393667154
sea_P(y),1,sudden,improved_UOB,98.76905095904638,96.82396823481169,0.08259704514450893,0.16160776617706157
sea_P(y),1,sudden,WEOB2,98.76905095904638,96.82396823481169,0.08259704514450893,0.16160776617706157
sea_P(y),1,sudden,UOB,99.04677942979217,98.14362056873725,0.05308974725852438,0.11938604534246629
sea_P(y),1,sudden,CSMOTE,98.74740154470427,97.13040882292873,0.0,0.0
sea_P(y),1,sudden,RebalanceStream,98.80394056083252,97.28100012232429,0.0,1.4210854715202004e-14
sea_P(y),1,incremental,improved_OOB,99.07685024656298,98.2723493744628,0.049960402093258686,0.08642132191183192
sea_P(y),1,incremental,WEOB1,99.00231416859718,97.9452631140358,0.04007978461372337,0.05313870385950526
sea_P(y),1,incremental,OOB,99.08570284519575,98.47619330909149,0.05145321333333084,0.08760775923715386
sea_P(y),1,incremental,ESOS_ELM,89.74279667717063,75.02204211373521,0.07989371098966658,0.34791934847159756
sea_P(y),1,incremental,improved_UOB,98.81200807265489,97.24862714699805,0.07905853500168733,0.10445810100690253
sea_P(y),1,incremental,WEOB2,98.81200807265489,97.24862714699805,0.07905853500168733,0.10445810100690253
sea_P(y),1,incremental,UOB,99.08570284519575,98.47619330909149,0.05145321333333084,0.08760775923715386
sea_P(y),1,incremental,CSMOTE,98.75989443725612,97.30879541914655,0.0,1.4210854715202004e-14
sea_P(y),1,incremental,RebalanceStream,98.82903337181975,97.5741295081658,0.0,0.0
sea_P(y),3,incremental,improved_OOB,87.97760221279725,80.61434114561438,0.09570050507520299,0.09987362495398923
sea_P(y),3,incremental,WEOB1,87.86834554227079,80.53205480765956,0.08062028301316394,0.06919315325816383
sea_P(y),3,incremental,OOB,87.6621930976067,80.2035661865664,0.14739532338104977,0.1749608050183748
sea_P(y),3,incremental,ESOS_ELM,82.41503576802805,63.45563049312749,0.09272893366173691,0.13005712932596772
sea_P(y),3,incremental,improved_UOB,87.57550823353623,80.18066738092452,0.10887394246360818,0.08567882068057826
sea_P(y),3,incremental,WEOB2,87.57550823353623,80.18066738092452,0.10887394246360818,0.08567882068057826
sea_P(y),3,incremental,UOB,87.34871125828066,79.71200472318978,0.35649302619162915,0.4654248078767902
sea_P(y),3,incremental,CSMOTE,84.68737157696356,75.76512412721146,0.0,0.0
sea_P(y),3,incremental,RebalanceStream,86.98712634938667,79.7447721185385,1.4210854715202004e-14,1.4210854715202004e-14
sea_P(y),3,sudden,improved_OOB,87.95816488666783,80.46827185389729,0.090443552134088,0.08619239314331116
sea_P(y),3,sudden,WEOB1,87.87145630069611,80.41745878819322,0.07818562712175386,0.04658692333886991
sea_P(y),3,sudden,OOB,87.62368310731227,80.00048280932381,0.16360578741533024,0.19749588909997412
sea_P(y),3,sudden,ESOS_ELM,82.28834094909713,62.89422466469706,0.12204661578020864,0.1692116090110619
sea_P(y),3,sudden,improved_UOB,87.60154497471822,80.10289502324062,0.10411614466453858,0.07156910736003076
sea_P(y),3,sudden,WEOB2,87.60154497471822,80.10289502324062,0.10411614466453858,0.07156910736003076
sea_P(y),3,sudden,UOB,87.31176007184133,79.51082745311655,0.3758242313364756,0.5122404204232244
sea_P(y),3,sudden,CSMOTE,87.11128485137952,79.18476850698515,0.0,0.0
sea_P(y),3,sudden,RebalanceStream,86.96287113963248,79.6203143343574,1.4210854715202004e-14,1.4210854715202004e-14
sea_P(y),2,sudden,improved_OOB,89.00413881740316,78.82677422679063,0.08665826334124337,0.09337471091567452
sea_P(y),2,sudden,WEOB1,88.8893910054779,78.65152750113053,0.07814077840042655,0.09130658989677988
